,Image,R,G,B
0,1.jpg,163,164,167
1,1.jpg,253,253,253
2,1.jpg,129,131,145
3,1.jpg,190,189,184
4,1.jpg,120,119,137
5,1.jpg,141,145,156
6,2.jpg,215,217,200
7,2.jpg,195,207,122
8,2.jpg,254,254,253
9,3.jpg,43,38,60
10,3.jpg,189,153,90
11,4.jpg,145,81,78
12,4.jpg,216,216,203
13,4.jpg,254,254,254
14,5.jpg,254,254,254
15,5.jpg,182,173,160
16,6.jpg,200,191,184
17,6.jpg,253,254,253
18,6.jpg,160,112,92
19,6.jpg,106,122,147
20,6.jpg,164,180,198
21,6.jpg,185,155,135
22,7.jpg,254,254,254
23,7.jpg,228,222,191
24,blurred_1.jpg,163,164,166
25,blurred_1.jpg,254,254,254
26,blurred_1.jpg,129,131,145
27,blurred_1.jpg,189,188,183
28,blurred_1.jpg,141,145,155
29,blurred_1.jpg,120,120,137
30,blurred_1.jpg,222,221,222
31,blurred_2.jpg,215,218,201
32,blurred_2.jpg,196,208,124
33,blurred_2.jpg,254,254,252
34,blurred_3.jpg,44,39,60
35,blurred_3.jpg,184,155,87
36,blurred_4.jpg,145,82,79
37,blurred_4.jpg,217,216,203
38,blurred_4.jpg,254,253,253
39,blurred_5.jpg,183,174,162
40,blurred_5.jpg,254,254,253
41,blurred_6.jpg,162,178,196
42,blurred_6.jpg,254,254,254
43,blurred_6.jpg,162,115,95
44,blurred_6.jpg,106,122,147
45,blurred_6.jpg,186,157,137
46,blurred_6.jpg,200,192,185
47,cloth1.jpg,254,253,253
48,cloth1.jpg,180,34,39
